11,Алфа Индекс Имоти,Alfa-Indeks-Imoti
12,Алфа SOFIX Индекс,Alfa-SOFIX-Indeks
41,Алфа Избрани Акции,Alfa-Izbrani-Akcii
89,Алфа Ликвидни Средства,Alfa-Likvidni-Sredstva
106,ДФ Аркус Балансиран,DF-Arkus-Balansiran
111,ДФ Аркус Динамичен,DF-Arkus-Dinamichen
54,ДФ Астра Кеш,DF-Astra-Kesh
79,ДФ Астра Комодити,DF-Astra-Komoditi
80,ДФ Астра Плюс,DF-Astra-Plyus
122,ДФ Астра Енерджи,DF-Astra-Enerdzhi
121,ДФ Астра Ценни Метали,DF-Astra-Cenni-Metali
34,ДФ Ди Ви Евробонд,DF-Di-Vi-Evrobond
36,ДФ Ди Ви Хармония,DF-Di-Vi-Harmoniya
37,ДФ Ди Ви Динамик,DF-Di-Vi-Dinamik
40,ДФ Ди Ви Съкровище,DF-Di-Vi-Sykrovishte
8,ДФ ДСК Стандарт,DF-DSK-Standart
9,ДФ ДСК Баланс,DF-DSK-Balans
10,ДФ ДСК Растеж,DF-DSK-Rastezh
67,ДФ ДСК Имоти,DF-DSK-Imoti
85,ДФ „ДСК Евро Актив”,DF-DSK-Evro-Aktiv
100,ДФ “ДСК СТАБИЛНОСТ - ЕВРОПЕЙСКИ АКЦИИ”,DF-DSK-STABILNOST-EVROPEYSKI-AKCII
107,ДФ “ДСК СТАБИЛНОСТ - НЕМСКИ АКЦИИ”,DF-DSK-STABILNOST-NEMSKI-AKCII
105,ДФ “ДСК ФОНД НА ПАРИЧНИЯ ПАЗАР ”,DF-DSK-FOND-NA-PARICHNIYA-PAZAR
108,ДФ “ДСК ФОНД НА ПАРИЧНИЯ ПАЗАР В ЕВРО ”,DF-DSK-FOND-NA-PARICHNIYA-PAZAR-V-EVRO
109,ДФ “ДСК АЛТЕРНАТИВА”,DF-DSK-ALTERNATIVA
135,ДФ „ДСК Глобални компании”,DF-DSK-Globalni-kompanii
82,ДФ Експат Имърджинг Маркетс Стокс,DF-Ekspat-Imyrdzhing-Markets-Stoks
83,ДФ Експат Глоубъл Екуитис,DF-Ekspat-Gloubyl-Ekuitis
90,ДФ Експат Бондс,DF-Ekspat-Bonds
17,ИД Елана Високодоходен Фонд,ID-Elana-Visokodohoden-Fond
15,ДФ Елана Балансиран Евро Фонд,DF-Elana-Balansiran-Evro-Fond
16,ДФ Елана Балансиран Долар Фонд,DF-Elana-Balansiran-Dolar-Fond
42,ДФ Елана Фонд Свободни пари,DF-Elana-Fond-Svobodni-pari
87,ДФ Елана Еврофонд,DF-Elana-Evrofond
95,ДФ Елана Глобален Фонд Акции,DF-Elana-Globalen-Fond-Akcii
131,ДФ Елана България,DF-Elana-Bylgariya
63,ДФ ЕФ Принсипал,DF-EF-Prinsipal
74,ДФ ЕФ Рапид,DF-EF-Rapid
18,ДФ Златен лев,DF-Zlaten-lev
65,ДФ Златен лев Индекс 30,DF-Zlaten-lev-Indeks-30
125,ДФ Глобал Опортюнитис,DF-Global-Oportyunitis
110,ДФ Инвест Фонд Паричен Пазар,DF-Invest-Fond-Parichen-Pazar
126,ДФ Инвест Фонд Паричен Пазар - Долари,DF-Invest-Fond-Parichen-Pazar-Dolari
72,ДФ Инвест Актив,DF-Invest-Aktiv
56,ДФ Инвест Класик,DF-Invest-Klasik
96,ДФ Капман Фикс,DF-Kapman-Fiks
19,ДФ Капман Капитал,DF-Kapman-Kapital
20,ДФ Капман Макс,DF-Kapman-Maks
132,ДФ С-МИКС,DF-S-MIKS
133,ДФ С-БОНДС,DF-S-BONDS
21,ДФ Адванс Инвест,DF-Advans-Invest
22,ДФ Адванс Източна Европа,DF-Advans-Iztochna-Evropa
46,ДФ Адванс Възможности в Нова Европа,DF-Advans-Vyzmozhnosti-v-Nova-Evropa
101,ДФ Адванс Глобал Трендс,DF-Advans-Global-Trends
104,ДФ Адванс Консервативен Фонд,DF-Advans-Konservativen-Fond
119,ДФ КОМПАС ГЛОБЪЛ ТРЕНДС,DF-KOMPAS-GLOBYL-TRENDS
61,ДФ КОМПАС ЕВРОСТАБИЛНОСТ,DF-KOMPAS-EVROSTABILNOST
60,ДФ КОМПАС СТРАТЕГИЯ,DF-KOMPAS-STRATEGIYA
62,ДФ КОМПАС ПРОГРЕС,DF-KOMPAS-PROGRES
1,ДФ Конкорд Фонд-1 Акции и Облигации,DF-Konkord-Fond-1-Akcii-i-Obligacii
2,ДФ Конкорд Фонд-2 Акции,DF-Konkord-Fond-2-Akcii
4,ДФ Конкорд Фонд-3 Сектор Недвижими Имоти,DF-Konkord-Fond-3-Sektor-Nedvizhimi-Imoti
51,ДФ Конкорд Фонд-4 Енергетика,DF-Konkord-Fond-4-Energetika
66,ДФ Конкорд Фонд-5 ЦИЕ,DF-Konkord-Fond-5-CIE
57,ДФ Конкорд Фонд-6 Паричен,DF-Konkord-Fond-6-Parichen
30,ДФ Стандарт Инв. Високодоходен Фонд,DF-Standart-Inv-Visokodohoden-Fond
29,ДФ Стандарт Инв. Балансиран Фонд,DF-Standart-Inv-Balansiran-Fond
31,ДФ Стандарт Инв. Международен Фонд,DF-Standart-Inv-Mezhdunaroden-Fond
26,ДФ ОББ Платинум Облигации,DF-OBB-Platinum-Obligacii
27,ДФ ОББ Балансиран Фонд,DF-OBB-Balansiran-Fond
28,ДФ ОББ Премиум Акции,DF-OBB-Premium-Akcii
84,ДФ ОББ Патримониум Земя,DF-OBB-Patrimonium-Zemya
98,ДФ ОББ Глобал Фарм Инвест,DF-OBB-Global-Farm-Invest
99,ДФ ОББ Евро Пари,DF-OBB-Evro-Pari
127,ОББ Глобал Детски Фонд,OBB-Global-Detski-Fond
129,ОББ Глобал Растеж,OBB-Global-Rastezh
130,ОББ Глобал Дивидент,OBB-Global-Divident
43,ДФ "ПИБ- Авангард",DF-PIB-Avangard
45,ДФ "ПИБ- Класик",DF-PIB-Klasik
44,ДФ "ПИБ- Гарант",DF-PIB-Garant
94,ДФ ПФБК ВОСТОК,DF-PFBK-VOSTOK
47,Райфайзен Консервативен Фонд  (България),Rayfayzen-Konservativen-Fond-Bylgariya
3,Райфайзен "България" фонд Глобален Растеж,Rayfayzen-Bylgariya-fond-Globalen-Rastezh
